,0,1,2,3,4,5,6,7,8,9,10,11
0,7.071157838,7.013453264,1.520233695,0.158373855,28.7869998,751.1413122,751.6465113,87.13824135,1.600027472,18.13478857,26.28745176,96.37723589
1,7.080863272,7.106578177,1.63241344,0.118665408,28.6989103,751.3091601,751.8139151,87.83991267,1.504393794,17.9732022,26.35646447,80.97453779
2,7.102306276,7.162689432,1.744734755,0.149062283,28.69388888,751.4246617,751.9312782,87.95520982,1.473254552,17.89319016,26.3814995,87.92420818
3,7.133204126,7.164064182,1.828775111,0.255735444,28.79134478,751.4467727,751.9574995,87.33737576,1.525418676,17.93376876,26.34857586,118.2531795
4,7.182476645,7.194911486,2.008903227,0.403554812,28.89654524,751.5613772,752.0784609,86.70489194,1.568130394,17.91512853,26.32566492,163.6218498
5,7.251206258,7.232148271,2.264221771,0.614434882,29.04415269,751.7254027,752.2516237,85.80362563,1.631875833,17.88573519,26.29122948,230.7306044
6,7.303323013,7.266388489,2.34532613,0.694951144,29.00600327,751.9999284,752.5299998,85.5463845,1.644733968,17.85216627,26.20254601,262.298641
7,7.338130622,7.306326198,2.248233548,0.628114292,28.75267885,752.4169717,752.9450776,86.0771373,1.591514485,17.79405628,26.06137238,253.9574294
8,7.374548161,7.338541994,2.077840857,0.525537544,28.42066965,752.9173044,753.4419973,86.75294327,1.531083302,17.74563344,25.8700531,239.1404586
9,7.404049559,7.362916285,1.771695754,0.335726806,27.94478747,753.5282565,754.0459966,87.83430101,1.442047621,17.70288178,25.61684735,203.0250375
10,7.339640221,7.327108071,1.639697466,0.223932869,27.73231299,753.9351206,754.4518246,88.29244044,1.413834299,17.71825402,25.50311188,189.8879946
11,7.172782193,7.222294231,1.707390824,0.208348738,27.82495367,754.1059362,754.6285026,87.99616599,1.459274151,17.80353103,25.54361551,205.0179525
12,6.936942156,7.072543146,1.772707772,0.165521697,27.97168878,754.2166247,754.7456611,87.65996247,1.517604624,17.93061774,25.63151529,214.6977756
13,6.605880743,6.860600619,1.913545089,0.137143665,28.281807,754.1799733,754.7185586,87.00571842,1.614010393,18.11788191,25.82022475,230.2214146
14,6.445850309,6.773584766,1.936251621,0.119273522,28.27853309,754.6521321,755.192063,85.46889827,1.66041287,18.35198731,25.46444059,218.816867
15,6.478293967,6.827266279,1.809769067,0.101463206,27.90657095,755.6988163,756.2304167,83.02732359,1.645641664,18.6346916,24.49888903,174.3298569
16,6.551951858,6.916244266,1.689825845,0.119155857,27.48591975,756.9326337,757.4536184,79.70357374,1.633445215,18.9914267,23.27384333,121.2090019
17,6.737023753,7.090401193,1.523956255,0.170852237,26.88915988,758.5313817,759.0363325,75.31604546,1.600446119,19.42291376,21.60942737,49.78010849
18,6.807502563,7.126434699,1.43709703,0.213907334,26.23897482,759.6760931,760.1768169,73.8502095,1.599871833,19.53479472,20.6157867,16.33138595
19,6.738684667,7.000945243,1.454474974,0.252546103,25.56261242,760.2781424,760.7884394,75.61804057,1.641250843,19.29410952,20.3999325,27.71964786
20,6.699013182,6.863325971,1.473937385,0.308015505,24.69205026,760.8809186,761.4037286,78.54869688,1.679914206,18.88990306,20.27487956,48.88843358
21,6.631517915,6.655214323,1.532017953,0.372871223,23.65411416,761.268073,761.8110464,83.71746219,1.730565962,18.2121587,20.53433034,95.49707784
22,6.623676119,6.668649638,1.513907959,0.380925524,22.62253468,761.7466907,762.3003868,85.42936404,1.767118546,18.01036889,19.969464,106.9876928
23,6.698151562,6.941269438,1.401108891,0.32727899,21.58457736,762.3734612,762.9264099,83.14447243,1.78317108,18.35048933,18.43542446,76.53182336
24,6.768137028,7.286635413,1.279307397,0.238152919,20.47112628,762.8179179,763.3708553,80.51814265,1.803190446,18.77715535,16.7556196,46.64738067
25,6.859560548,7.786324221,1.116222694,0.094528327,19.31781068,763.1546347,763.7038146,76.0693685,1.819397106,19.48646063,14.60633929,1.535888951
26,6.927022292,8.193921553,1.097719595,0.033614455,18.22103613,763.6234485,764.1709817,74.14408414,1.792499367,19.58240757,13.05905455,-17.82619146
27,6.957309472,8.479980965,1.247722991,0.065823172,17.19105726,764.2014119,764.750789,75.3463073,1.720590231,18.95980547,12.26392729,-4.609309379
28,6.99325061,8.833542127,1.451128802,0.108104433,16.21135258,764.8256446,765.3738425,76.36851911,1.61540408,18.20940904,11.4396166,8.715276319
29,7.020165772,9.1918442,1.76042827,0.195492627,15.31477346,765.5473478,766.0928977,78.36669426,1.465672698,17.08951387,10.87724941,33.47718221
30,7.039490392,9.409038463,1.895023594,0.232154675,14.7505671,765.9726763,766.5139644,79.84429159,1.396869969,16.43884283,10.60503165,43.77994827
31,7.054415466,9.486033512,1.824756664,0.205371457,14.55895864,766.0715845,766.6061033,80.40580749,1.418691007,16.36688191,10.57946327,34.61799416
32,7.051077185,9.440482455,1.728936316,0.190164688,14.66050122,766.0734161,766.5998416,81.71718223,1.460932999,16.26932171,11.03764294,27.72982703
33,7.029596155,9.230888646,1.532459766,0.161710175,15.14144266,765.8764305,766.393082,83.35736758,1.556605937,16.37074405,12.00047632,15.74928552
34,7.003934084,9.094901092,1.374463146,0.137906932,15.6840296,765.3212997,765.8373782,85.02535639,1.552019939,16.02143083,12.94874997,10.80662374
35,6.971851578,9.038312102,1.275385419,0.12691545,16.284292,764.3966007,764.9225148,86.89952311,1.430919722,15.11797732,13.90550468,15.82177425
36,6.925610187,8.905380598,1.104106619,0.100223213,17.18544467,763.0873915,763.628056,88.80050347,1.294731107,14.1557292,15.16241764,18.84338655
37,6.867061275,8.748187114,0.894393094,0.063432554,18.32502062,761.3362103,761.8997013,90.70769643,1.102995346,12.9546299,16.61785259,23.3731723
38,6.820345126,8.540088677,0.842939263,0.044804055,19.29731911,760.2993378,760.8707871,91.90004066,1.059976208,12.70411273,17.80795368,24.11963787
39,6.786726958,8.26459054,0.953379407,0.042812725,20.09305018,760.0582993,760.6207932,92.24941811,1.191349987,13.5582201,18.70995301,19.3144131
40,6.755529426,7.9727406,1.157686261,0.048158614,20.86402403,760.0029003,760.5533084,92.07751408,1.366717882,14.80594513,19.47003575,14.29080908
41,6.733237287,7.655301876,1.507702777,0.067206167,21.50380028,760.4387947,760.9679433,91.14099504,1.64278476,16.78759175,19.95536763,7.264800892
42,6.759354689,7.468770368,1.711741125,0.073687779,22.17833204,760.4350006,760.9531113,89.89106067,1.802798656,18.07534025,20.37851206,3.168794073
43,6.838707016,7.43755848,1.750414699,0.065848563,22.88618582,759.902462,760.4220817,88.31978749,1.821363169,18.52379073,20.72558078,2.90890446
44,6.958960782,7.482073333,1.810294859,0.061631684,23.44801674,759.5543703,760.0736424,85.96007544,1.850929468,19.11725916,20.76204224,2.564053326
45,7.132987072,7.651554582,1.820026521,0.054801708,23.88623965,759.1660442,759.6881227,82.87480056,1.834463643,19.48895072,20.50939854,3.550061676
46,7.189414604,7.645006046,1.990027053,0.054019713,24.61625366,758.4872132,759.0116043,81.76264826,1.85400951,19.68490184,20.99090357,14.9161815
47,7.114704202,7.438307172,2.352744278,0.06157748,25.64318593,757.5600949,758.0848506,82.80576252,1.92711385,19.7702999,22.25766553,37.34225082
48,7.002799898,7.221670727,2.751046623,0.068508895,26.77298602,756.3289912,756.8579931,84.74739858,1.96706164,19.41646136,23.82040542,67.83165628
49,6.808131731,6.918683581,3.243055636,0.07734278,28.10625255,754.7316521,755.2677589,88.3225895,1.995343723,18.62278432,25.94616244,109.0692597
50,6.69706662,6.780700668,3.439592881,0.100568851,28.91722393,753.5821863,754.121205,89.89380171,1.981052962,18.22821259,27.10273052,123.8298078
51,6.686489522,6.842303316,3.29112848,0.138503279,29.13433016,752.9151936,753.4531915,89.16139791,1.90972815,18.2294821,27.14969169,109.0029322
52,6.657344271,6.92108547,3.029833195,0.187360942,29.18520253,752.2792533,752.8149741,88.52119146,1.811421676,18.19981609,27.0485171,84.75518807
53,6.651615153,7.085043901,2.544773602,0.250555189,28.87391957,751.8733191,752.4039038,87.06152094,1.673291026,18.32891777,26.4002267,41.0614594
54,6.713190304,7.142901613,2.304446373,0.28297281,28.78395174,751.5701209,752.0978176,86.30801096,1.59551041,18.30437027,26.13729043,40.00577084
55,6.837885643,7.064133883,2.356705758,0.280868905,28.98037507,751.3448904,751.8723218,86.55655216,1.588837953,18.08224854,26.39159711,87.77925853
56,7.039495047,6.996521232,2.37943842,0.268748783,29.01376392,751.4270331,751.9530322,86.33503281,1.593327027,17.9643341,26.38117076,146.1839666
57,7.331304257,6.887295299,2.493202283,0.234491109,29.02976166,751.7994586,752.3240421,86.04704285,1.636474646,17.87765775,26.34416621,231.7871616
58,7.4008311,6.892355919,2.483112189,0.223111352,28.92080474,752.1268847,752.6520921,86.08642253,1.627666512,17.79316383,26.24548169,272.7865269
59,7.227168581,7.037737648,2.307580518,0.239037066,28.63571052,752.4283162,752.9560234,86.32422813,1.556923745,17.74894505,26.00387021,260.8014746
